sheet,slug,title,author,year,publisher,isbn,source_page,cover_url,saved_path,bytes,status
亚马逊,the-falling-sky,The Falling Sky,Davi Kopenawa & Bruce Albert,2013,Harvard University Press,9780674292130,https://www.hup.harvard.edu/books/9780674292130,https://www.hup.harvard.edu/img/feeds/jackets/9780674292130.png?fm=jpg&q=90&fit=max&w=900,assets/covers/the-falling-sky.jpg,244929,ok
亚马逊,beyond-nature-and-culture,Beyond Nature and Culture,Philippe Descola,2013,University of Chicago Press,9780226144450,https://press.uchicago.edu/ucp/books/book/chicago/B/bo9826233.html,https://press.uchicago.edu/.imaging/mte/ucp/large/dam/ucp/books/jacket/978/02/26/14/9780226144450.jpg/jcr:content/9780226144450.jpg,assets/covers/beyond-nature-and-culture.jpg,466944,ok
亚马逊,cannibal-metaphysics,Cannibal Metaphysics,Eduardo Viveiros de Castro,2014,Univocal / U Minnesota Press,9781517905316,https://www.upress.umn.edu/9781517905316/cannibal-metaphysics/,"(user-provided HD image, converted to JPEG)",assets/covers/cannibal-metaphysics.jpg,201305,ok
亚马逊,designs-for-the-pluriverse,Designs for the Pluriverse,Arturo Escobar,2018,Duke University Press,9780822371052,https://www.dukeupress.edu/designs-for-the-pluriverse,https://assets-us-01.kc-usercontent.com/f7ca9afb-82c2-002a-a423-84e111d5b498/1d132b7d-fc65-4ccc-93a9-bcedfd3d4e4f/978-0-8223-7105-2_pr.jpg,assets/covers/designs-for-the-pluriverse.jpg,81051,ok
亚马逊,earth-beings,Earth Beings,Marisol de la Cadena,2015,Duke University Press,9780822359630,https://www.dukeupress.edu/earth-beings,https://assets-us-01.kc-usercontent.com/f7ca9afb-82c2-002a-a423-84e111d5b498/1f78cca1-c16b-4e10-8772-3970cf0fa7c8/978-0-8223-5963-0_pr.jpg,assets/covers/earth-beings.jpg,184473,ok
亚马逊,how-forests-think,How Forests Think,Eduardo Kohn,2013,University of California Press,9780520276116,https://www.ucpress.edu/books/how-forests-think,https://webfiles.ucpress.edu/coverimage/isbn13/9780520276116.jpg,assets/covers/how-forests-think.jpg,1153369,ok
赞米亚,age-of-wild-ghosts,The Age of Wild Ghosts,Erik Mueggler,2001,University of California Press,9780520226319,https://www.ucpress.edu/books/the-age-of-wild-ghosts/paper,https://webfiles.ucpress.edu/coverimage/isbn13/9780520226319.jpg,assets/covers/age-of-wild-ghosts.jpg,97551,ok
赞米亚,the-paper-road,The Paper Road,Erik Mueggler,2011,University of California Press,9780520269033,https://www.ucpress.edu/books/the-paper-road,https://webfiles.ucpress.edu/coverimage/isbn13/9780520269033.jpg,assets/covers/the-paper-road.jpg,1058187,ok
赞米亚,songs-for-dead-parents,Songs for Dead Parents,Erik Mueggler,2017,University of Chicago Press,9780226481005,https://press.uchicago.edu/ucp/books/book/chicago/S/bo26774080.html,"(user-provided HD image, converted to JPEG)",assets/covers/songs-for-dead-parents.jpg,325325,ok
赞米亚,passage-to-manhood,Passage to Manhood,Shao-hua Liu,2011,Stanford University Press,9780804770255,https://www.sup.org/books/asian-studies/passage-manhood,https://supress.sites-pro.stanford.edu/sites/supress/files/media/covers/17120.jpg,assets/covers/passage-to-manhood.jpg,221164,ok
太平洋,society-of-others,Society of Others,Rupert Stasch,2009,University of California Press,9780520256866,https://www.ucpress.edu/books/society-of-others/paper,https://webfiles.ucpress.edu/coverimage/isbn13/9780520256866.jpg,assets/covers/society-of-others.jpg,629627,ok
